question,option1,option2,option3,option4
X alone can complete a piece of work in 40 days. He worked for 8 days nd left. Y alone completed the remaining work in 16 days. How long would X and Y together take to complete the work ?,13(1/3) days,14 days,15 days,16(2/3) days
Which of the following successive discount series is the best of all for a customer ?,"30%, 20%, 10%","25%, 20%, 15%","30%, 10%, 15%","25%, 15%, 10%"
A train travelling with uniform speed crosses two bridges of lengths 300 m and 240 m in 21 seconds and 18 seconds respectively. The speed of the train is :,72 km/hr,68 km/hr,65 km/hr,60 km/hr
"If the cost price and selling price of an article are in the ratio 10 : 11, then the percentage of profit is :",10,9,3,1
The difference between the simple interests received from two different banks on Rs. 500 for 2 years is Rs. 2.50. The difference between their per annum rates of interest is :,0.10%,0.25%,0.50%,1.00%
Raghu went to buy shirts and found that there is a discount of 25% on the purchase of shirts. He wanted to save Rs. 500 through discount where the cost of each shirt is Rs. 250. Then how many shirts does he need to buy ?,8,12,10,13
Ramu had invested the same amount of sums at simple as well as compound interests. The time period of both the sums was 2 years and the rate of interest was the esame 10% per annum. At the end he found a difference of Rs. 1500 in both the interests received. Find the sum invested.,"Rs. 1,30,000","Rs. 1,50,000","Rs. 15,000","Rs. 1,40,000"
"A tank is 8 metre long and 5 metre wide. At what speed should water run through a pipe 6 cm broad and 5 cm deep so that in 3 hours and 20 minutes, the water level in the tank rises by 6.5 metre ?",24 km/hr,26 km/hr,28 km/hr,22 km/hr
"When valve A alone is opened to fill a sump, it takes 25 hours more than the time taken to fill the sump when valves A and B are opened together. But B alone takes 9 hours more than the time taken to fill the sump when both valves are opened together. In how much time can valves A and B together fill the sump ?",15 hours,16 hours,13 hours,12 hours
The speed of a boat in still water is 20 km/hr. It can go 24 km upstream and return downstream to the original point in 2½ hours. What is the speed of the stream in km/hr?,4 km/hr,8 km/hr,3 km/hr,2 km/hr
"A plastic merchant can buy some times at the rate of rs. 45 per item. The particular item is part of an overall collection and the value is linked to the number of items that are already on the market. So, the merchant sells the first item for Rs. 3, the second one for Rs. 6, the third for R.s 9 and so on. If he wants to make an overall profit of at least 30%, what is the minimum number of items he should sell ?",28,38,30,32
"A hardware merchant claims to be lending money to a private bank at simple interest, but he in cludes the interest every six months for calculating the principal. If he is charging an interest of 12%, then what is the effective rate of interest after one year ?",12.36%,12.25%,15.36%,15.25%
"Rajan has invested a certain amount in simple interest for x years, it amounts to Rs. 500 at 10% per annum. But when invested at 4% per annum, it amounts to Rs. 300. What is the value of x ?",20,15,16,25
"Mr. John invested an amount of Rs. 15,000 divided between two different schemes A and B respectively, at the simple interest rates of 18% p.a.a and 15% p.a. respectively. If the total amount of simple interest earned in 4 years is Rs. 9750, what was the amount invested in Scheme B ?","Rs. 8,750","Rs. 7,875","Rs. 8,875","Rs. 7,750"
"A sum of money amounts to Rs. 81,000 in 4 years and Rs. 64,000 in 2 years compounded annually. Find the rate of interest",9%,10.50%,12%,12.50%
8 men can finish a piece of work in 25 days. 15 women can finish the same pice of work in 16 days. 4 men and 8 women started working together and worked for 10 days. After that 6 more men joined them. How many days will they now take to finish the remaining work ?,4(4/5),6(3/5),6(2/5),5(3/5)
The respective ratio between the present ages of A and B is 9:10.8 years ago the respective ratio of 1/7th of A's age that ime and 1/4th of B's age that time was 1:2. What will be the respective ratio between A's age and B's age 8 years hence ?,17:18,11:12,09:11,12:13
"Out of 7 consonants and 4 vowels, how many words of 3 consonants and 2 vowels can be formed ?",24400,21300,210,25200
A metallic cuboid measuring 12cm x 9cm x 2cm is melted and cast into a cube. Find the length of each edge of the cube,5 cm,6 cm,2 cm,8 cm
A boat can travel 6.4km downstream in 16 minutes and 9.9km upstream in 33 minutes. What is the total time taken by the boat to travel 48 km upstream and the same distance downstream together ?,4hrs 40 min,4 hrs,5 hrs,5hrs 40 min
"The ratio of the numbe rof boys and girls in a school is 3:2. If 20% of the boys and 25% of the girls are scholarship holders, then the percentage of the students, who do not get the scholarship, is :",78,75,60,55
"The HCF of two numbers is 15 and their LCm is 225. If one of the numbers is 75, then the other is :",105,90,60,45
"While finding the average of 10 given numbers, a student, by mistake, wrote 64 in place of a number 46 and got his correct average 50. The correct average of the given numbers is :",48.2,48.3,49.1,49.3
"In a mixture of 60 litres, the ratio of milk and water is 2 : 1. How muchmore water must be added to make its ratio 1 : 2 ?",40 litres,52 litres,54 litres,60 litres
"How many students in the school are getting merit cum need scholarship ? Statements : I. The School has seven hundred students, out of which 10% belong to below property line familes. II. The number of students who got I division is 140 III. Out of these III divisions, 65% belong to well to do families",Only I and II,Only I and III,All the three,Only I and either II or III
"If the printing cost is Rs. 17,500, the 'Royalty' paid is :","Rs. 8,750","Rs. 75,000","Rs. 6,300","Rs. 3,130"
The measure of central angle for the section 'printing cost' is :,126,70,63,35
Three of the following four word-pairs are alike in a certain way while one is different. Select the odd one from the following alternatives :,Pedology : Soil,Craniology : Skull,Cytology : Cells,Haematology : Blood
"Three statements are given, followed by four Conclusions numbered I to IV. Assuming the statements to be true, even if they seem to be at variance with commonly known facts, decide which of the Conclusions logically follow(s) from the given statements. Statements : All cycles are vehicles. Some vehicles are dustbins. All packets are vehicles. Conclusions : I. Some dustbins are cycles. II. Some cycles are packets. III. Some vehicles are cycles. IV. No cycle is packet.",Only Conclusions II and III follow,Either Conclusion II or Conclusion IV follows,Conclusions III and either Conclusion II or IV follow,Conclusion III and either Conclusion I or IV follow
Three of the following four number-pairs are alike in a certain way while one of them is different. Select the odd one from the following alternatives :,442:84,152:52:00,226:47:00,234:83
"A team of six is to be selected from amongst five doctors A, B, C, D and E and five engineers P, Q, R, S and T in such a manner that the team must include maximum two engineers and must satisfy the following criteria : (i) A and D have to be together. (ii) B and R cannot go together. (iii) P and S cannot go together (iv) Q and R have to be together (v) B and P have to be together. Which of the following alternatives may form a team ? 1. BACDQR 2. PBSCDA 3. APEDBT 4. PDABEC",Only 4,1 and 3,Only 3,3 and 4
Which one set of letters when sequentially placed at the gaps in the given letter series shall complete it ? A__b__b a__b __ __ ba,bbaab,bbabb,aabab,aabba
Three of the following four letter-clusters are alike in a certain way while one is different. Select the odd one from the following alternatives :,FXOD : GRAH,PILA : DOLS,FIXT : WALI,LOGI : ORJM
"Four statements are given followed by three Conclusions. The meanings of the symbols used are as follows : P@Q means P is neither smaller nor greater than Q. P#Q means P is neither greather than nor equal to Q. P&Q means P is neither smaller nor equal to Q. P%Q means P is not greater than Q. P$Q means P is not smaller than Q. Now, study the following statements and decide whichof the Conclusions is /are true ? Statements : D@E E#A A#B C & D Conclusions : I. D$B II. B%D III. C & E",Only conclusions I and III are true,Only conclusion I is true,Only conclusion III is true,Only conclusion II is true
"Eight friends K, L, M, N, O, P, Q and R are sitting around a ciruclar table at equal distance between adjacent persons facing the centre. K is sitting just opposite to O. L is sitting between M and P. P is sitting opposite N. N is to the immediate right of K. M and Q are sitting opposite to each other. Which of the following statements is not true ?",O is sitting between P and Q.,L is sitting opposite to R.,L is sitting third to the left of K.,K is sitting between M and N.
"Eight persons P, Q, R, S, T, U, V and W are sitting around a circular table facing the centre and at equal distance between adjacent persons. If P is in North-east direction, in which direction is S?",South-East,North-West,South,North
Arbuda starts from her house and walks 78 metre to the west. From there she turns right and walks 22 metre. Then she turns right again and walks 34 metre. Finally she turns left and walks 41 metre. Find the shortest distance between the present position of Arbuda and her house.,120 metre,140 metre,100 metre,80 metre
Select the number that is related to the third number in the same way as the second number is related to the first number. 2211:10::1423:?,28,29,30,27
Select the letter-cluster that is related to the third letter-cluster in the same way as the second letter-cluster is related to the first letter-cluster. ROGUE:ULJRB:CASUAL:?,FXVRXO,EXVRXO,FYVRYO,FXVQXO
A+B' means 'A is daughter of B'. 'A-B' means 'A is sister of B'. 'AxB' means 'A is mother of B'. 'A/B' means 'A is son of B'. 'A@B' means 'A is father of B'. If K @ O @ P - U / L x M @ Q - N + R then which of the following statemens is not true ?,O is paternal grandfather of Q.,Q and N are daughters of R,L is wife of K,U and M are brothers
Mohini went to movies nine days ago. She goes the movies only on Thursday. What day of the week is today ?,Saturday,Thursday,Sunday,Tuesday
The age of a father is twice that of his son's at present age. After 5 years the sum of their ages will be 85. How old are they now ?,"40, 20","46, 23","60, 30","50, 25"
Ravi's father has a son Rohit who has an aunt Laxmi who has a husband Rao whose father-in-law is Mohan. What is the relation of Mohan to Ravi ?,Nephew,Grandfather,Son,Uncle
If you are 9th person in a queue starting from one end and 11th from another end. What is the number of persons in the queue ?,20,19,21,18
"If BEAUTIFUL is written as CDOGHJKMN, how LEAF can be written in that code ?",NDOK,KNND,ODNK,DKON
"A total of 360 students take parts in one or more than one programmes out of three programmes Literature, Music and Dance. Only 15% of them take part in all the three programmes. The number of students taking part in any two or only two programmes is 20% of the total number. The number of students who take part in literature only or music only.",203,204,206,202
Five students are sitting in a row. 'T' is on the right of 'Z'. 'M' is on the left of 'Z' but is on the right of 'L'. 'T' is on the left of 'Q'. Who is sitting first from the left ?,Z,Q and N are daughters of R,T,LOGI : ORJM
"From the given alternative words, select the word which cannot be formed using the letters of the given word : SUPERIORITY",PURSE,PURSUIT,PRIORITY,PURITY
Three of the four words given are alike in a certain way while one is different. Select the odd one from the following alternatives :,Innovation,Novelty,Creativity,Conventional
Select the option that is related to the third word in the same way as the second word is related to the first word. Cat : Mew : : Goat : _____________,Bleat,Chirp,Cackle,Squeak
Statements : Some books are Magazines. Some Magazines are Novels. Conclusions : (I) Some books are Novels. (II) Some Novels are Magazines,Only (I) follows,Only (II) follows,Either (I) or (II) follows,Neither (I) nor (II) follows
"Statements : ""Bats do not lay eggs and therefore, bats are not birds"". Conclusions : (I) All birds lay eggs. (II) Only birds lay eggs.",Only (I) follows,Only (II) follows,Both (I) and (II) follow,Neither (I) nor (II) follows
In which of the following step 15 and chip are placed immediately ?,Step-III,Step-IV,Step-III and Step-IV,Step II
How many elements are there between 52 and 26 in step-II?,One,Two,Three,Four
Which elements are there between ALU and 26 in step-IV?,chip,15,48,chip and 15
"Select the option which will replace the question mark ? In the series correctly : 19, 23, 34, 64?",129,131,130,128
"Amongst five articles A, B, C, D and E, A is 5 times heavier than D; B is three and one-half times heavier than E. C is three times heavier than A. Which of the following statements is not true ?",B is heavier than D,A is 10 times heavier than E,B is 5 times heavier than A,C is 15 times heavier than D
"Mala is daughter of Lata, Vijay is father of Sumit. Divya is daughter of Rashmi. Aarti is mother of Sumit. The mother of Urja is wife of Sumit. Divya is wife of the only son of Vijay. How Rashmi is related to Urja ?",Grandmother (Maternal),Grandmother (Paternal),Mother,Granddaughter
"A contractor pays at the rate of Rs. 65 per day to his workers. If a worker is jobless on a certain day, Rs. 15 is deducted from his earlier wages on that day. A worker got Rs. 2150 as total wages after 70 days. Calculate that for how many days the worker was jobless?",28 days,25 days,30 days,35 days
"Books were distributed free of cost among the students of a class. The number of books got by each student was one-sixth of the total number of students. If the number of students were half of their present strength, each student would get 18 books. How many books were distributed ?",486,684,648,468
Find the sum of the largest 4-digit number and the smallest 5-digit number whose H.C.F. is 28.,20040,20024,20200,20020
The sum of two numbers is 672 and their HCF is 28. How many pairs of such numbers can be formed ?,5,3,2,4
12 kg of rice costing Rs. 30 per kg is mixed with 8 kg of rice costing Rs. 40 per kg. The average per kg price of mixed rice is,38,37,35,34
Which of the following pairs of numbers and signs should be interchanged to make the given equation correct? 228/12x14+38-57=129,"12 and 38, + and -","12 and 38, x and /","57 and 38, + and /","14 and 38, x and /"
"Select the option which will replace the question mark ? In the series correctly : 26, 55, 99, 165, 260?",393,391,392,390
"If in a certain code language 'TABLOID' is coded as 82, then how will 'PEACOCK' be coded in the same code language ?",92,91,94,93
"If the day before yesterday was Thursday, when will Sunday be ?",Today,Two days after today,Tomorrow,Day after Tomorrow
Raju is standing facing north. He goes 30 metres ahead and turns left and goes for 15 metres. Now he turns right and goes for 50 metres and finally turns to his right and walks. In which direction is he heading ?,North,East,South,West
"Vijay starts from his office and walks 4 km towards north. Then he turns right and walks 2km, then turns right and walks 6 km, then agains turns right and walks 2 km and then turns right and walks 2 km. How far is he now from the starting point ?",0 km,6 km,12 km,16 km
"Wooden little cubes each with an edge of one inch are put together to form a solid cube with an edge of three inches. This big cube is then painted red all over the outside. When the big cube isbroken up into the original little ones, how many cubes will be without paint ?",0,1,3,4
"At a college party five girls are sitting in a row. P is to the left of M and to the right of O. R is sitting to the right of N, but to the left of O. Who Is sitting in the middle ?",O,R,P,M
"In a particular way the word STAG is coded as HGZT, HORN as SLIM. Using the same coding, how can NORTH be written ?",NLGMI,MLIGS,MGLIS,NLGIS
Four words are given. Out of which only one word is spelt correctly. Choose the correctly spelt word and click the button corresponding to it.,Conniosseur,Connoisseur,Connossieur,Connosseiur
The boiling point of liquids very as,pressure veries,temperature varies,volume veries,Density veries
"A sentence/a part of the sentence is underlined. Four alternatives are given to the underline part which will improve the sentence. Choose the correct alternative and click the button corresponding to it. In case no improvement is needed. Click the button corresponding to "" improvement"".                       After a hard days work. I just want to go home. ",hard day's work ,hard days' work,hard day work ,No improvement
The motto of Special Olympics world games 2019 was _______,"""Let me win as I am a winner""","""Let me win. But if cannot win, let me be brave in the attempt""","""Let me win and prove""","""Let me win or lose. Its fine"
In the following question. Out of the four alternatives. Choose the word which best expresses the meaning of the given word and click the button corresponding to it.                                                     DEVASTATION ,DESTRUCTION,CONSTRUCTION ,SEPARATION,FRUSTRATION
What is studied in Ornithology?,Bird,Mammals,Bat,fish
Which of the following is NOT a folk dance?,Ghoomar ,Kathakali,Garba,Dandiya
Which is the logest river in Sir Lanka?,Pamban river,Mahaweli river,Maha Oya River,Kalu Ganga River
which of the following number is divisible by 8?,98654,97824,99892,112326
Select the correct option that will complete the series  256.384.576.854.______,1450,1054,1296,1312
Select the term that will come next in the following series. HM.EJ.BG._____,YD,SC,TE,YC
Amit bought an article for 2310 and sold it at a loss of 25%. With this money. He bought another article and soldit at a gain of 40% What was his overall gain or loss percent?,Loss 2.5%,Gain 8%,Loss 4%,Gain 5%
What is the sum of median and mode of the data   8.1.5.4.9.6.3.6.1.3.6.9.1.7.2.6.5?,13,11,12,14
Who appoints judges of supreme court and High court in India?,Chief Justice of India,President,Prime Minister,Law minister
COBOL is widely used in applications,Commercial,Scientific,Space,Mathematical
The motto of Special Olympics world games 2019 was _______,"""Let me win as I am a winner""","""Let me win. But if cannot win, let me be brave in the attempt""","""Let me win and prove""","""Let me win or lose. Its fine"
The lowest form of computer language is called,BASIC,FORTYAN,Machine language,COBOL
One terabyte [1 TB] is equal to?,1028GB,1012GB,1000GB,1024GB
Each box in a spreadsheet is called is called a………,cell,empty space,record,field
"In a certain code language. ""SPROUT"" is written as ""XUWTZY"". How is ""STEAM"" written in that code language?",ZAFIP,RFJYX,XYJFR,AZUFY
